,Year,Summer,Games,Host,NOC,Team,Names,Females,Sports,Events,Medals,Golds,Silvers,Bronzes,Athletes per Event
2553,1976,0,1976 Winter,0,AUT,Austria-1,8,0,2,3,1,0,0,1,2.667
2554,1976,0,1976 Winter,0,AUT,Austria-2,8,0,2,3,0,0,0,0,2.667
2555,1976,0,1976 Winter,0,BEL,Belgium,4,1,2,8,0,0,0,0,0.5
2556,1976,0,1976 Winter,0,BUL,Bulgaria,29,0,4,9,0,0,0,0,3.222
2557,1976,0,1976 Winter,0,CAN,Canada,44,19,7,29,3,1,1,1,1.517
2558,1976,0,1976 Winter,0,CAN,Canada-1,8,1,3,4,0,0,0,0,2.0
2559,1976,0,1976 Winter,0,CAN,Canada-2,9,1,3,4,0,0,0,0,2.25
2560,1976,0,1976 Winter,0,CHI,Chile,5,0,1,3,0,0,0,0,1.667
2561,1976,0,1976 Winter,0,ESP,Spain,4,0,1,3,0,0,0,0,1.333
2562,1976,0,1976 Winter,0,FIN,Finland,47,9,8,26,7,2,4,1,1.808
2563,1976,0,1976 Winter,0,FRA,France,34,6,8,19,1,0,0,1,1.789
2564,1976,0,1976 Winter,0,FRA,France-1,2,0,1,1,0,0,0,0,2.0
2565,1976,0,1976 Winter,0,FRA,France-2,2,0,1,1,0,0,0,0,2.0
2566,1976,0,1976 Winter,0,FRG,West Germany,60,15,9,28,7,2,3,2,2.143
2567,1976,0,1976 Winter,0,FRG,West Germany-1,6,0,2,3,3,0,2,1,2.0
2568,1976,0,1976 Winter,0,FRG,West Germany-2,6,0,2,3,0,0,0,0,2.0
2569,1976,0,1976 Winter,0,GBR,Great Britain,27,8,6,18,1,1,0,0,1.5
2570,1976,0,1976 Winter,0,GBR,Great Britain-1,8,1,3,4,0,0,0,0,2.0
2571,1976,0,1976 Winter,0,GBR,Great Britain-2,9,1,3,4,0,0,0,0,2.25
2572,1976,0,1976 Winter,0,GBR,Great Britain-3,2,1,1,1,0,0,0,0,2.0
2573,1976,0,1976 Winter,0,GDR,East Germany,42,16,7,24,14,4,4,6,1.75
2574,1976,0,1976 Winter,0,GDR,East Germany-1,10,1,3,4,3,2,1,0,2.5
2575,1976,0,1976 Winter,0,GDR,East Germany-2,10,1,3,4,2,1,0,1,2.5
2576,1976,0,1976 Winter,0,GDR,East Germany-3,2,1,1,1,0,0,0,0,2.0
2577,1976,0,1976 Winter,0,GRE,Greece,4,0,2,5,0,0,0,0,0.8
2578,1976,0,1976 Winter,0,HUN,Hungary,3,1,1,2,0,0,0,0,1.5
2579,1976,0,1976 Winter,0,IRI,Iran,4,0,1,3,0,0,0,0,1.333
2580,1976,0,1976 Winter,0,ISL,Iceland,8,2,2,7,0,0,0,0,1.143
2581,1976,0,1976 Winter,0,ITA,Italy,40,8,8,23,4,1,2,1,1.739
2582,1976,0,1976 Winter,0,ITA,Italy-1,9,1,3,4,0,0,0,0,2.25
2583,1976,0,1976 Winter,0,ITA,Italy-2,8,1,3,4,0,0,0,0,2.0
2584,1976,0,1976 Winter,0,ITA,Italy-3,2,1,1,1,0,0,0,0,2.0
2585,1976,0,1976 Winter,0,JPN,Japan,58,8,10,28,0,0,0,0,2.071
